name,id,username,followers_count,following_count,tweet_count,listed_count,ens,visited
RicMoo (ricmoo.eth),9945412,ricmoo,3376,223,1590,97,ricmoo.eth,False
haardik.eth | LearnWeb3DAO,1194701528378093569,haardikkk,923,600,817,8,haardik.eth,False
cantino.eth â¤ï¸â€ğŸ”¥,99188594,chriscantino,77084,1473,11407,1779,cantino.eth,False
brantly.eth,518918278,BrantlyMillegan,48569,798,23419,795,brantly.eth,False
mariano.eth âœ¨á•™à¼¼àºˆÙ„Íœàºˆà¼½á•—âœ¨ | ğŸ¦‡ğŸ”Š,789299,nanexcool,57220,1134,16327,1035,mariano.eth,False
jdl.eth,619075446,AlwaysBCoding,3172,1649,6569,168,jdl.eth,False
Andrew Cronk | ajc.eth,11859132,ajcronk,1856,1596,4338,94,ajc.eth,False
Alex Van de Sande (avsa.eth),10157,avsa,37712,1591,17247,1031,avsa.eth,False
Alex Atallah (alexatallah.eth),54317637,xanderatallah,33203,1814,1805,513,alexatallah.eth,False
saturnial.eth,47701302,saturnial,22032,3150,10791,407,saturnial.eth,False
"wyc.eth (ğŸ„, ğŸŠ)",17825223,wycdd,1154,1219,736,35,wyc.eth,False
"marcelc63.eth (ğŸ˜ˆ,ğŸ˜‡)",57927912,marcelc63,2274,1324,2393,52,marcelc63.eth,False
vitalik.eth,295218901,VitalikButerin,3131867,291,16990,23961,vitalik.eth,False
Questbook.eth (YCw21),184079765,questbookapp,4977,36,579,78,Questbook.eth,False
ens.eth,996321865311358976,ensdomains,146718,19,3424,1272,ens.eth,False
nick.eth,34592834,nicksdjohnson,52082,772,34416,867,nick.eth,False
pedrouid.eth ğŸ“²,823546213,pedrouid,8751,1173,14207,213,pedrouid.eth,False
nachobr.eth,1130670818202198018,NachoBritos12,427,841,1117,5,nachobr.eth,False
ric.eth ğŸ¦‡ğŸ”Šâš–ï¸ï£¿,14285961,ricburton,58761,22831,47948,1222,ric.eth,False
yashbora.eth,1389597177887002627,yb_effect,10436,755,1709,266,yashbora.eth,False
"wevans.eth (ğŸ˜ˆ,ğŸ˜‡)",22939691,whywevans,225,905,1081,0,wevans.eth,False
"Coopahtroopa.eth ğŸ”¥,ğŸ”¥",305830702,Cooopahtroopa,139796,2309,21927,2929,Coopahtroopa.eth,False
marquitos.eth ÎğŸ¦‡ğŸ”ŠğŸ’°,1410789241030942727,marquitos_eth,402,299,109,4,marquitos.eth,False
evets.eth,14530949,stevefink,7236,2900,17321,116,evets.eth,False
carra.eth,982132176723460096,WuCarra,14099,856,888,399,carra.eth,False
pablito.eth ğŸ¦‡ğŸ”Š,189230702,PabloSabbatella,33193,2536,11592,399,pablito.eth,False
EricJorgenson.eth ğŸ“ğŸ“š,14377979,EricJorgenson,49363,1149,27049,992,EricJorgenson.eth,False
bg.jpg.eth.pdf ğŸŒ´,1067450302746390528,bgdotjpg,683,2527,395,15,bg.jpg.eth,False
jckbtchr.eth,52188203,jackbutcher,179969,1056,20411,3156,jckbtchr.eth,False
sariazout.eth,34724786,sariazout,19090,3004,4086,451,sariazout.eth,False
sean.eth æä¸Š,1122537388738146304,_seanli,1082,401,593,28,sean.eth,False
ğŸ›  Kenneth Auchenberg,14810761,auchenberg,11731,3053,31779,373,Kenneth,False
Lenny Rachitsky | lennysan.eth,7958322,lennysan,106465,1797,22333,2408,lennysan.eth,False
feliks.eth,1223191,feliks,1279,1454,411,26,feliks.eth,False
"nader dabit (ğŸ§±, ğŸš€) | sha.eth | nader.sol",17189394,dabit3,94887,11313,40346,1886,sha.eth,False
andrewchen.eth,3283901,andrewchen,242667,10417,25864,6966,andrewchen.eth,False
dfrankel.eth,85623871,dafrankel,29243,2938,9197,739,dfrankel.eth,False
jaredpalmer.eth,44936471,jaredpalmer,30284,1470,9123,510,jaredpalmer.eth,False
faraaz.eth,472224198,faraaznishtar,3248,1277,1982,75,faraaz.eth,False
mckaywrigley.eth,2786431437,mckaywrigley,16879,378,9411,313,mckaywrigley.eth,False
shiven.eth (Shiven Ramji),12705482,thinkshiv,3794,4992,16650,177,shiven.eth,False
tobi lutke | tobi.eth,676573,tobi,237646,1841,5485,3084,tobi.eth,False
asanso.eth ğŸ¦‡ğŸ”Š,23515941,asanso,4962,1323,13059,140,asanso.eth,False
Sriram Krishnan - sriramk.eth,149763,sriramk,119782,1172,13073,2087,sriramk.eth,False
Elizabeth McGuane,9925652,emcguane,3412,1053,4274,266,Elizabeth,False
shekman.eth,14184775,Shekman,704,820,1657,26,shekman.eth,False
nicolasjengler.eth (he/him) ğŸ³ï¸â€ğŸŒˆ,2796338210,NicolasJEngler,776,214,5095,46,nicolasjengler.eth,False
ğŸ´ğŸ³ï¸â€ğŸŒˆNichole Elizabeth DeMerÃ©,39099783,NikkiElizDemere,68318,71723,155285,2960,Elizabeth,False
devevangelist.eth,15330061,devevangelist,4961,5477,43093,379,devevangelist.eth,False
benahorowitz.eth,16242081,bhorowitz,596729,493,1251,8780,benahorowitz.eth,False
ciaranlee.eth,1548731,ciaran_lee,3031,609,4850,66,ciaranlee.eth,False
cvander.ethâœ¨,817789,cvander,109340,482,55929,1815,cvander.eth,False
eoghan.eth,118203,eoghan,16652,422,2170,509,eoghan.eth,False
messina.eth (OOO),1186,chrismessina,112576,8066,74529,4807,messina.eth,False
joshtwist.eth,23967168,joshtwist,3488,831,152,129,joshtwist.eth,False
santi.eth ğŸ’§,9321342,santisiri,106407,6706,116714,1875,santi.eth,False
